name,nextId,threadId,homework,midterm,final,Grade
Student-98,98,Thread-98,88,97,77,B
Student-99,99,Thread-99,93,88,77,B
Student-100,100,Thread-100,85,80,78,B
Student-101,101,Thread-101,86,91,71,B
Student-102,102,Thread-102,71,74,71,C
Student-103,103,Thread-103,76,80,71,C
Student-104,104,Thread-104,99,84,97,A
Student-105,105,Thread-105,89,70,91,B
Student-106,106,Thread-106,80,98,89,B
Student-107,107,Thread-107,78,73,90,C
Student-108,108,Thread-108,77,88,91,B
Student-109,109,Thread-109,82,83,86,B
Student-110,110,Thread-110,97,90,95,A
Student-111,111,Thread-111,95,94,72,A
Student-112,112,Thread-112,88,92,94,A
Student-113,113,Thread-113,70,79,81,C
Student-114,114,Thread-114,96,89,72,B
Student-115,115,Thread-115,86,89,72,B
Student-116,116,Thread-116,95,70,74,B
Student-117,117,Thread-117,98,71,78,B
Student-118,118,Thread-118,86,94,72,B
Student-119,119,Thread-119,82,70,75,C
Student-120,120,Thread-120,73,92,95,B
Student-121,121,Thread-121,93,94,83,A
Student-122,122,Thread-122,98,88,84,A
Student-123,123,Thread-123,76,73,82,C
Student-124,124,Thread-124,78,84,91,B
Student-125,125,Thread-125,94,80,98,A
Student-126,126,Thread-126,80,70,91,C
Student-127,127,Thread-127,78,73,79,C
Student-128,128,Thread-128,80,81,90,B
Student-129,129,Thread-129,87,87,93,B
Student-130,130,Thread-130,95,71,86,B
Student-131,131,Thread-131,91,88,82,B
Student-132,132,Thread-132,79,83,73,C
Student-133,133,Thread-133,79,89,97,B
Student-134,134,Thread-134,81,88,79,B
Student-135,135,Thread-135,90,78,99,B
Student-136,136,Thread-136,70,73,89,C
Student-137,137,Thread-137,94,89,94,A
Student-138,138,Thread-138,89,96,74,B
Student-139,139,Thread-139,96,76,81,B
Student-140,140,Thread-140,74,71,71,C
Student-141,141,Thread-141,99,71,98,A
Student-142,142,Thread-142,71,70,92,C
Student-143,143,Thread-143,78,98,96,B
Student-144,144,Thread-144,84,84,97,B
Student-145,145,Thread-145,82,90,88,B
Student-146,146,Thread-146,79,72,80,C
Student-147,147,Thread-147,88,84,97,B
Student-148,148,Thread-148,80,75,74,C
Student-149,149,Thread-149,92,92,76,B
Student-150,150,Thread-150,87,70,91,B
